scalar,RGB_r,RGB_g,RGB_b
0.0,85,72,193
0.0322580645161,91,84,198
0.0645161290323,98,96,203
0.0967741935484,105,107,208
0.129032258065,113,118,212
0.161290322581,121,130,216
0.193548387097,130,141,219
0.225806451613,139,152,222
0.258064516129,149,163,225
0.290322580645,160,174,228
0.322580645161,171,184,231
0.354838709677,182,195,233
0.387096774194,195,206,235
0.41935483871,208,216,237
0.451612903226,221,227,239
0.483870967742,235,237,241
0.516129032258,240,236,233
0.548387096774,237,224,215
0.58064516129,234,211,198
0.612903225806,230,199,182
0.645161290323,226,186,166
0.677419354839,223,173,151
0.709677419355,219,161,136
0.741935483871,215,148,122
0.774193548387,211,134,109
0.806451612903,207,121,97
0.838709677419,202,107,85
0.870967741935,198,93,74
0.903225806452,193,77,64
0.935483870968,188,60,55
0.967741935484,183,40,47
1.0,177,1,39
